"supertype_name","Condition","Proportion"
"0214 Sst","GSM8409502_P14MGE_BaxcHET",0.162053056516724
"0214 Sst","GSM8409503_P14MGE_BaxcKO",0.13905325443787
"0215 Sst","GSM8409502_P14MGE_BaxcHET",0
"0215 Sst","GSM8409503_P14MGE_BaxcKO",0.000934288383681096
"0216 Sst","GSM8409502_P14MGE_BaxcHET",0.00230680507497117
"0216 Sst","GSM8409503_P14MGE_BaxcKO",0.00358143880411087
"0217 Sst","GSM8409502_P14MGE_BaxcHET",0.19636678200692
"0217 Sst","GSM8409503_P14MGE_BaxcKO",0.20772345063843
"0218 Sst","GSM8409502_P14MGE_BaxcHET",0.0475778546712803
"0218 Sst","GSM8409503_P14MGE_BaxcKO",0.0590158829025226
"0219 Sst","GSM8409502_P14MGE_BaxcHET",0
"0219 Sst","GSM8409503_P14MGE_BaxcKO",0.000934288383681096
"0220 Sst","GSM8409502_P14MGE_BaxcHET",0.165801614763552
"0220 Sst","GSM8409503_P14MGE_BaxcKO",0.154157583307381
"0221 Sst","GSM8409502_P14MGE_BaxcHET",0.0547866205305652
"0221 Sst","GSM8409503_P14MGE_BaxcKO",0.0492058548738711
"0222 Sst","GSM8409502_P14MGE_BaxcHET",0.0683391003460208
"0222 Sst","GSM8409503_P14MGE_BaxcKO",0.082995951417004
"0223 Sst","GSM8409502_P14MGE_BaxcHET",0.135524798154556
"0223 Sst","GSM8409503_P14MGE_BaxcKO",0.12535035814388
"0224 Sst","GSM8409502_P14MGE_BaxcHET",0.0423875432525952
"0224 Sst","GSM8409503_P14MGE_BaxcKO",0.0411086888819682
"0225 Sst","GSM8409502_P14MGE_BaxcHET",0.00865051903114187
"0225 Sst","GSM8409503_P14MGE_BaxcKO",0.0029585798816568
"0226 Sst","GSM8409502_P14MGE_BaxcHET",0.0366205305651672
"0226 Sst","GSM8409503_P14MGE_BaxcKO",0.0376829648084709
"0227 Sst","GSM8409502_P14MGE_BaxcHET",0.0256632064590542
"0227 Sst","GSM8409503_P14MGE_BaxcKO",0.0330115228900654
"0228 Sst","GSM8409502_P14MGE_BaxcHET",0.00720876585928489
"0228 Sst","GSM8409503_P14MGE_BaxcKO",0.00840859545312987
"0229 Sst","GSM8409502_P14MGE_BaxcHET",0.0467128027681661
"0229 Sst","GSM8409503_P14MGE_BaxcKO",0.0504515727187792
"0230 Sst","GSM8409502_P14MGE_BaxcHET",0
"0230 Sst","GSM8409503_P14MGE_BaxcKO",0.00124571784490813
"0231 Sst","GSM8409502_P14MGE_BaxcHET",0
"0231 Sst","GSM8409503_P14MGE_BaxcKO",0.00186857676736219
"0232 Sst","GSM8409502_P14MGE_BaxcHET",0
"0232 Sst","GSM8409503_P14MGE_BaxcKO",0.000311429461227032
