"","Supertype_Other","major_label_transferAnchors_BaseAtlas","cell_count","proportion"
"1","0214 Sst Gaba_1","Martinotti",386,0.313057583130576
"2","0214 Sst Gaba_1","Non-Martinotti",847,0.686942416869424
"3","0215 Sst Gaba_2","Martinotti",834,0.907508161044614
"4","0215 Sst Gaba_2","Non-Martinotti",85,0.0924918389553863
"5","0216 Sst Gaba_3","Martinotti",395,0.677530017152659
"6","0216 Sst Gaba_3","Non-Martinotti",188,0.322469982847341
"7","0217 Sst Gaba_4","Martinotti",2024,0.975891996142719
"8","0217 Sst Gaba_4","Non-Martinotti",50,0.0241080038572806
"9","0218 Sst Gaba_5","Martinotti",301,0.425141242937853
"10","0218 Sst Gaba_5","Non-Martinotti",407,0.574858757062147
"11","0219 Sst Gaba_6","Martinotti",668,0.796185935637664
"12","0219 Sst Gaba_6","Non-Martinotti",171,0.203814064362336
"13","0220 Sst Gaba_7","Martinotti",245,0.987903225806452
"14","0220 Sst Gaba_7","Non-Martinotti",3,0.0120967741935484
"15","0221 Sst Gaba_8","Martinotti",133,0.184979137691238
"16","0221 Sst Gaba_8","Non-Martinotti",586,0.815020862308762
"17","0222 Sst Gaba_9","Martinotti",774,0.998709677419355
"18","0222 Sst Gaba_9","Non-Martinotti",1,0.00129032258064516
"19","0223 Sst Gaba_10","Martinotti",4885,0.927649069502469
"20","0223 Sst Gaba_10","Non-Martinotti",381,0.0723509304975313
"21","0224 Sst Gaba_11","Martinotti",660,0.993975903614458
"22","0224 Sst Gaba_11","Non-Martinotti",4,0.00602409638554217
"23","0225 Sst Gaba_12","Martinotti",299,0.433333333333333
"24","0225 Sst Gaba_12","Non-Martinotti",391,0.566666666666667
"25","0226 Sst Gaba_13","Martinotti",347,0.718426501035197
"26","0226 Sst Gaba_13","Non-Martinotti",136,0.281573498964803
"27","0227 Sst Gaba_14","Martinotti",35,0.0353535353535354
"28","0227 Sst Gaba_14","Non-Martinotti",955,0.964646464646465
"29","0228 Sst Gaba_15","Martinotti",1148,0.936378466557912
"30","0228 Sst Gaba_15","Non-Martinotti",78,0.0636215334420881
"31","0229 Sst Gaba_16","Martinotti",647,0.699459459459459
"32","0229 Sst Gaba_16","Non-Martinotti",278,0.300540540540541
"33","0230 Sst Gaba_17","Martinotti",79,0.0637096774193548
"34","0230 Sst Gaba_17","Non-Martinotti",1161,0.936290322580645
"35","0231 Sst Gaba_18","Martinotti",560,0.821114369501466
"36","0231 Sst Gaba_18","Non-Martinotti",122,0.178885630498534
"37","0232 Sst Gaba_19","Martinotti",415,0.845213849287169
"38","0232 Sst Gaba_19","Non-Martinotti",76,0.154786150712831
