"","group","Supertype_Other","count","proportion","p1_proportion","relative_proportion_toP1"
"1","P5","0214 Sst Gaba_1",553,0.043798511009029,0.0756943445100014,0.578623294680119
"2","P5","0215 Sst Gaba_2",271,0.021463646443846,0.043675348971075,0.491436175084962
"3","P5","0216 Sst Gaba_3",219,0.0173451607793442,0.0315872787451432,0.549118552417599
"4","P5","0217 Sst Gaba_4",1429,0.113179154126406,0.104259605698662,1.08555133474727
"5","P5","0218 Sst Gaba_5",630,0.0498970378583875,0.0311555619513599,1.60154510890501
"6","P5","0219 Sst Gaba_6",122,0.00966260098210043,0.0293567419772629,0.329144187375568
"7","P5","0220 Sst Gaba_7",222,0.017582765721527,0.010145344653907,1.73308707799846
"8","P5","0221 Sst Gaba_8",791,0.0626485030888642,0.0241041876528997,2.59907133113145
"9","P5","0222 Sst Gaba_9",875,0.0693014414699826,0.0174125773492589,3.97996460144553
"10","P5","0223 Sst Gaba_10",3445,0.272849675273246,0.231112390271982,1.18059302208828
"11","P5","0224 Sst Gaba_11",187,0.0148107080627277,0.0399338034249532,0.37088147865908
"12","P5","0225 Sst Gaba_12",319,0.0252653255187708,0.0411570010073392,0.613876737866917
"13","P5","0226 Sst Gaba_13",458,0.0362743545065737,0.0170528133544395,2.12717712629689
"14","P5","0227 Sst Gaba_14",764,0.0605100586092191,0.0432436321772917,1.39928252005146
"15","P5","0228 Sst Gaba_15",384,0.0304134325993981,0.0975679953950209,0.311715255358727
"16","P5","0229 Sst Gaba_16",632,0.050055441153176,0.0582098143617787,0.859914117610432
"17","P5","0230 Sst Gaba_17",643,0.0509266592745129,0.0425960569866168,1.19557214627902
"18","P5","0231 Sst Gaba_18",442,0.0350071281482655,0.0351849186933372,0.994946967289558
"19","P5","0232 Sst Gaba_19",240,0.0190083953746238,0.0265505828176716,0.715931379177565
"20","P56","0214 Sst Gaba_1",6875,0.102021131358699,0.0756943445100014,1.3478038817711
"21","P56","0215 Sst Gaba_2",1183,0.0175550543123405,0.043675348971075,0.40194422542489
"22","P56","0216 Sst Gaba_3",2004,0.0297382323262302,0.0315872787451432,0.941462307220836
"23","P56","0217 Sst Gaba_4",14335,0.212723333531192,0.104259605698662,2.04032359518048
"24","P56","0218 Sst Gaba_5",3999,0.0593429097168635,0.0311555619513599,1.90472923613157
"25","P56","0219 Sst Gaba_6",725,0.0107585920341901,0.0293567419772629,0.366477725713661
"26","P56","0220 Sst Gaba_7",3740,0.0554994954591322,0.010145344653907,5.47043963043276
"27","P56","0221 Sst Gaba_8",4145,0.0615094675609901,0.0241041876528997,2.55181665720191
"28","P56","0222 Sst Gaba_9",3432,0.0509289487742625,0.0174125773492589,2.9248369010938
"29","P56","0223 Sst Gaba_10",6141,0.091128984388912,0.231112390271982,0.394305923112422
"30","P56","0224 Sst Gaba_11",2677,0.0397251736214163,0.0399338034249532,0.99477560899179
"31","P56","0225 Sst Gaba_12",2126,0.0315486436754318,0.0411570010073392,0.766543793358657
"32","P56","0226 Sst Gaba_13",4064,0.0603074731406185,0.0170528133544395,3.5365116527777
"33","P56","0227 Sst Gaba_14",2464,0.0365643734789577,0.0432436321772917,0.845543531797926
"34","P56","0228 Sst Gaba_15",2893,0.0429304920757405,0.0975679953950209,0.440005884121417
"35","P56","0229 Sst Gaba_16",4322,0.0641360479610613,0.0582098143617787,1.10180815149917
"36","P56","0230 Sst Gaba_17",956,0.0141865020478423,0.0425960569866168,0.333047306521812
"37","P56","0231 Sst Gaba_18",644,0.00955659761381848,0.0351849186933372,0.271610620934252
"38","P56","0232 Sst Gaba_19",663,0.00983854692230071,0.0265505828176716,0.370558604677873
